x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
123.25,59.25,,,,79.4,6.8,31.0,0.0,14.9,-32.7,-29.3,-25.9,0.6,11.3,177,4,4.036893849,7.02e-05,0
77.25,8.75,,,,48.0,9.2,0.0,3.8,21.5,21.0,25.6,30.2,23.8,1.61,192,4,865.3364866,685.059331,0
77.75,49.25,,,,38.4,10.6,31.0,0.3,5.0,-26.8,-21.5,-16.2,0.6,6.43,176,9,155.8722421,0.003949828,0
68.75,23.25,,,,12.5,14.2,0.0,3.6,1.2,12.2,19.3,26.4,11.7,0.0,147,2,777.9703454,1049.757324,0
79.75,67.75,,,,87.7,6.4,31.0,0.0,32.2,-25.4,-22.2,-19.0,1.1,22.21,153,3,0.003450518,0.001876838,0
89.25,35.75,,,,37.5,15.0,31.0,0.7,1.5,-27.3,-19.8,-12.3,0.1,1.58,223,3,61.67465634,0.0,0
66.75,43.25,,,,56.3,9.6,29.72,0.6,13.0,-9.4,-4.6,0.2,3.2,5.14,156,9,115.3021536,0.022357265,0
130.75,60.25,,,,77.4,6.3,31.0,0.0,8.7,-39.1,-35.9,-32.8,0.3,3.84,171,4,4.903387846,0.000201231,0
19.744197,40.858354,Europe,Albania,19/11/2016,71.9,8.4,8.31,1.1,112.3,3.7,7.9,12.1,7.5,10.82,155,2,2595.57264,0.0,1
22.162513,42.406234,Europe,Serbia,8/7/2016,80.4,6.6,25.78,0.7,28.2,-4.5,-1.2,2.1,4.1,8.19,135,4,562.0941322,0.883214041,1
54.25,20.75,,,,35.1,9.0,0.0,3.6,0.0,16.7,21.2,25.7,16.4,0.0,150,9,13.28837816,0.0,0
91.25,26.25,,,,33.2,13.4,0.0,1.9,8.9,10.0,16.7,23.4,14.4,1.05,148,11,5242.12378,143.2114897,0
106.25,57.75,,,,68.2,9.8,31.0,0.0,7.3,-37.3,-32.4,-27.5,0.3,6.01,167,4,12.40418344,1.64e-05,0
112.75,42.25,,,,23.4,10.5,31.0,0.7,0.9,-21.9,-16.6,-11.4,0.2,1.69,183,3,0.004984651,0.0,0
128.75,50.75,,,,32.0,12.0,31.0,0.0,3.7,-31.4,-25.4,-19.4,0.9,4.3,163,2,55.6781042,0.002372495,0
88.75,72.75,,,,70.5,7.3,31.0,0.0,26.9,-29.4,-25.7,-22.1,0.7,20.04,152,3,5.729068101,0.0011054,0
19.924128,41.414369,Europe,Albania,30/09/2016,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11,170,2,1531.08631,0.0,1
96.25,52.75,,,,47.1,11.5,31.0,0.1,9.9,-37.9,-32.1,-26.4,0.2,7.74,186,4,26.61275333,0.000142613,0
65.75,65.75,,,,92.9,5.1,31.0,0.0,22.4,-23.0,-20.4,-17.9,1.1,15.54,147,11,0.032917719,0.039628773,0
16.25,-6.75,,,,87.5,10.8,0.0,2.7,177.5,17.1,22.5,27.9,22.4,10.7,168,4,1.39e-05,0.0,0
20.122379,42.371421,Europe,Albania,7/9/2016,82.0,6.0,26.09,0.7,71.6,-4.8,-1.8,1.2,3.8,10.45,151,4,1140.51243,0.0,1
85.75,30.25,,,,37.1,16.4,31.0,1.0,6.2,-22.2,-14.0,-5.8,0.3,1.35,240,3,159.4840662,0.0,0
77.25,55.75,,,,53.5,7.9,31.0,0.0,5.5,-26.8,-22.8,-18.9,1.0,2.65,153,2,149.2940634,0.000953785,0
101.25,30.25,,,,44.7,16.5,31.0,1.5,1.2,-13.8,-5.5,2.8,0.0,1.44,163,3,265.3007303,0.0,0
22.263725,42.18351,Europe,North Macedonia,11/7/2016,80.4,6.6,25.78,0.7,28.2,-4.5,-1.2,2.1,4.1,8.19,135,4,562.0941322,0.883214041,1
84.75,59.25,,,,66.9,7.1,31.0,0.0,14.3,-26.5,-22.9,-19.4,0.9,13.23,153,6,5.351878577,0.000235678,0
104.25,41.25,,,,26.8,12.7,31.0,0.2,0.6,-21.3,-14.9,-8.6,1.8,0.91,181,9,12.75585452,0.0,0
26.75,28.25,,,,25.0,13.7,1.78,2.8,0.5,7.2,14.0,20.9,9.2,0.52,157,9,0.03747914,0.000251448,0
101.75,75.25,,,,51.1,6.6,31.0,0.0,15.8,-34.3,-31.0,-27.7,0.5,13.61,166,9,5.350949611,0.000411275,0
141.75,68.25,,,,55.3,7.4,31.0,0.0,7.9,-46.1,-42.4,-38.7,0.1,7.03,165,9,2.324926371,0.000303701,0
81.967362,56.926858,Asia,Russian Federation,25-Sep-20,53.6,7.5,31.0,0.0,7.3,-26.9,-23.1,-19.4,1.1,8.68,155,4,22.58561377,3.13e-05,1
54.25,55.75,,,,68.2,7.0,31.0,0.1,33.2,-17.6,-14.1,-10.6,1.8,14.56,151,2,442.1020641,0.001567838,0
53.25,64.75,,,,77.9,6.5,31.0,0.0,35.7,-19.3,-16.0,-12.8,1.6,18.46,153,4,1.687365294,0.000127862,0
-178.75,68.25,,,,83.1,8.1,31.0,0.0,40.6,-24.7,-20.6,-16.6,1.5,15.56,140,3,0.0,0.001832746,0
93.25,66.25,,,,77.2,6.5,31.0,0.1,23.8,-33.9,-30.6,-27.4,0.2,17.04,176,3,7.535627049,0.000250612,0
73.25,66.25,,,,86.8,6.4,31.0,0.0,27.4,-24.5,-21.3,-18.1,1.2,19.21,150,4,0.002018547,0.000788831,0
115.25,32.75,,,,59.3,8.7,25.99,1.4,4.1,-4.7,-0.3,4.1,2.7,2.38,150,2,14804.11853,0.0,0
116.25,56.25,,,,62.0,10.5,31.0,0.0,1.0,-37.9,-32.6,-27.4,0.1,0.35,165,4,13.21119144,8.62e-05,0
136.25,49.75,,,,48.6,8.3,31.0,0.1,11.0,-23.6,-19.4,-15.3,1.2,6.43,147,6,0.0,0.0,0
74.25,38.75,,,,46.9,9.9,31.0,0.6,11.5,-21.9,-16.9,-12.0,0.1,3.58,180,3,173.4059458,0.0,0
48.25,65.75,,,,81.4,7.9,31.0,0.0,36.0,-21.0,-17.0,-13.1,1.6,22.51,150,6,1.036875875,0.003755055,0
79.25,72.75,,,,70.3,7.0,31.0,0.0,45.3,-25.3,-21.8,-18.3,1.1,20.87,145,11,0.0,0.0,0
161.25,56.75,,,,82.6,7.1,31.0,0.0,36.2,-23.2,-19.6,-16.1,1.5,14.88,191,4,0.155989859,0.001536588,0
108.75,27.25,,,,89.3,4.3,22.73,0.9,30.2,-1.9,0.3,2.5,4.5,14.99,157,3,1752.152201,1132.628168,0
53.25,30.25,,,,40.5,13.9,25.36,1.8,56.3,-4.1,2.9,9.9,2.4,8.09,189,5,373.0558683,1.42e-10,0
22.138702,42.187947,Europe,North Macedonia,8/7/2016,80.4,6.6,25.78,0.7,28.2,-4.5,-1.2,2.1,4.1,8.19,135,4,562.0941322,0.883214041,1
77.25,18.25,,,,14.4,13.8,0.0,3.9,0.3,15.7,22.6,29.5,12.1,0.0,168,2,3641.655396,2730.487122,0
35.75,31.25,,,,44.3,9.1,3.06,1.8,58.4,6.3,10.8,15.4,9.1,8.85,194,9,0.928138198,0.0,0
109.25,52.75,,,,42.6,10.6,31.0,0.1,3.0,-36.6,-31.3,-26.0,0.1,2.69,168,4,39.67217273,5.2e-05,0
157.75,51.75,,,,66.3,5.1,30.45,0.3,63.9,-11.0,-8.4,-5.9,2.8,15.0,126,4,0.0,0.0,0
37.25,27.75,,,,31.3,12.3,4.45,3.3,5.7,5.5,11.6,17.8,5.8,1.18,179,9,0.000147271,0.0,0
101.25,34.25,,,,45.4,19.1,31.0,1.1,1.7,-20.5,-10.9,-1.4,0.0,1.42,217,3,121.1674615,0.0,0
146.25,59.25,,,,58.9,6.1,31.0,0.0,29.4,-22.6,-19.5,-16.5,1.2,8.59,143,5,0.714824907,0.000345447,0
126.25,55.75,,,,63.1,9.7,31.0,0.0,4.4,-35.5,-30.6,-25.8,0.3,4.24,174,9,4.996052484,0.000416553,0
167.75,67.25,,,,68.5,9.6,31.0,0.0,12.1,-32.4,-27.6,-22.8,0.7,14.4,174,3,0.0,0.00023524,0
117.25,59.25,,,,71.1,8.7,31.0,0.1,8.2,-37.4,-33.0,-28.7,0.1,6.68,180,4,3.824874735,0.000143353,0
161.75,68.25,,,,72.5,8.7,31.0,0.0,8.2,-32.8,-28.4,-24.1,0.6,11.47,145,3,0.0,0.018639276,0
33.25,69.25,,,,85.3,6.6,31.0,0.1,45.6,-14.1,-10.8,-7.5,2.5,16.19,153,11,68.70862073,0.045383963,0
85.25,67.75,,,,87.1,5.8,31.0,0.0,36.8,-26.5,-23.6,-20.7,1.0,21.62,150,3,3.384994489,0.001233346,0
70.25,59.75,,,,56.5,7.3,31.0,0.0,11.8,-24.3,-20.6,-17.0,1.1,6.54,148,4,31.3897415,3.69e-05,0
103.25,74.25,,,,50.4,6.2,31.0,0.0,26.1,-33.1,-30.0,-26.9,0.5,13.9,158,3,5.187592957,0.000948897,0
41.75,35.25,,,,48.4,10.6,9.28,1.4,33.8,3.3,8.6,13.9,8.0,11.16,164,9,50.70333781,18.62620655,0
54.75,51.25,,,,58.5,8.1,31.0,0.2,14.7,-17.9,-13.8,-9.8,1.7,8.14,156,2,224.4801499,0.00127549,0
59.75,59.75,,,,72.0,8.1,31.0,0.0,29.9,-21.1,-17.0,-13.0,1.5,10.0,160,4,37.98170254,2.9e-06,0
35.75,66.75,,,,89.1,7.1,31.0,0.0,43.3,-16.4,-12.8,-9.3,2.2,16.21,153,4,0.009193179,0.000306087,0
83.25,63.75,,,,88.0,6.5,31.0,0.0,21.5,-26.9,-23.6,-20.4,1.0,17.82,150,4,0.005504149,0.000264379,0
133.75,47.75,,,,45.2,7.7,31.0,0.1,7.9,-24.5,-20.6,-16.8,1.0,3.01,148,4,94.33000998,0.0,0
83.25,49.75,,,,65.3,10.3,31.0,0.2,5.2,-28.7,-23.5,-18.4,0.7,5.89,184,4,190.0114872,0.007283451,0
38.75,62.25,,,,91.4,6.9,31.0,0.0,54.9,-16.2,-12.7,-9.3,2.3,18.45,156,4,3.128272344,0.000215611,0
159.75,63.25,,,,74.1,8.9,31.0,0.1,14.2,-33.5,-29.0,-24.6,0.3,14.98,163,3,0.01586697,0.001625683,0
